Home,Road,line,vscore,hscore,week,actual
Houston,East Carolina,24,27,52,11,25
Indiana,Wisconsin,-10.5,45,17,11,-28
Iowa,Ohio St.,-20,24,55,11,31
Kansas,Baylor,-7,38,9,11,-29
Kent,Bowling Green,-2.5,44,16,11,-28
Kentucky,Mississippi,3.5,37,34,11,-3
Louisiana Tech,North Texas,3.5,24,23,11,-1
Louisiana-Monroe,Appalachian St.,-8,45,52,11,7
Miami (Fla.),Virginia Tech,3,10,28,11,18
Michigan,Minnesota,15.5,10,33,11,23
Michigan St.,Penn St.,-10,24,27,11,3
Middle Tenn.,UTEP,17.5,3,30,11,27
Mississippi St.,Massachusetts,33.5,23,34,11,11
Missouri,Florida,1.5,16,45,11,29
NC St.,Clemson,-8,38,31,11,-7
Nebraska,Northwestern,-3,31,24,11,-7
New Mexico,Utah St.,3.5,24,10,11,-14
Notre Dame,Wake Forest,14.5,37,48,11,11
Ohio,Miami (Ohio),9,28,45,11,17
Oklahoma St.,Oklahoma,1.5,62,52,11,-10
Old Dominion,Charlotte,9.5,0,6,11,6
Purdue,Illinois,14,10,29,11,19
Rutgers,Maryland,-4,24,31,11,7
SMU,Central Florida,-15,31,24,11,-7
San Jose St.,San Diego St.,-23.5,52,7,11,-45
South Alabama,Louisiana-Lafayette,6,19,14,11,-5
TCU,Texas,6.5,7,24,11,17
Temple,Navy,-7,26,34,11,8
Tennessee,Southern Miss.,6.5,10,24,11,14
Texas A&M,Auburn,-15.5,42,27,11,-15
Texas St.,New Mexico St.,-10,45,35,11,-10
Texas Tech,Kansas St.,4,42,35,11,-7
Toledo,Northern Ill.,7.5,17,27,11,10
Troy St.,Idaho,18.5,21,24,11,3
Tulane,Cincinnati,6.5,17,16,11,-1
Tulsa,Memphis,-13.5,41,14,11,-27
UAB,Rice,10,21,52,11,31
UNLV,Hawaii,9,23,31,11,8
USC,Arizona,7,35,49,11,14
Utah,UCLA,6.5,17,48,11,31
Vanderbilt,Western Kentucky,12.5,17,31,11,14
Virginia,Georgia Tech,-7.5,36,40,11,4
Washington,Oregon,17,3,38,11,35
Washington St.,Stanford,-2,21,24,11,3
West Va.,Iowa St.,3.5,16,20,11,4
Western Mich.,Central Mich.,3.5,35,28,11,-7
Wyoming,Colorado St.,-4.5,13,16,11,3
Air Force,Wyoming,3,28,14,12,-14
Appalachian St.,Georgia Southern,18.5,6,27,12,21
Arizona,Oregon St.,21,28,49,12,21
Army,Duke,-4,16,21,12,5
Auburn,Georgia,-2,17,40,12,23
Baylor,Texas Tech,-8.5,38,24,12,-14
Boston College,NC St.,-3,17,14,12,-3
Buffalo,Bowling Green,7.5,28,38,12,10
Central Florida,Connecticut,39,24,49,12,25
Central Mich.,Eastern Mich.,-2,30,42,12,12
Charlotte,Middle Tenn.,-13.5,35,21,12,-14
Cincinnati,Temple,-3,35,24,12,-11
Clemson,Florida St.,16,14,31,12,17
Coastal Carolina,Troy St.,-17,42,17,12,-25
Colorado,USC,-14,38,24,12,-14
Colorado St.,Boise St.,-6,59,52,12,-7
East Carolina,Tulane,-5.5,31,24,12,-7
Florida Intl.,Old Dominion,9.5,37,30,12,-7
Georgia Tech,Virginia Tech,-3,22,28,12,6
Hawaii,Fresno St.,-10,31,21,12,-10
Illinois,Indiana,-9.5,24,14,12,-10
Iowa St.,Oklahoma St.,-6.5,49,42,12,-7
Kansas St.,West Va.,1,28,23,12,-5
LSU,Arkansas,17,10,33,12,23
Louisiana Tech,Florida Atlantic,-4.5,48,23,12,-25
Louisville,Virginia,12,21,38,12,17
Marshall,Western Kentucky,11.5,23,30,12,7
Maryland,Michigan,-17,35,10,12,-25
Miami (Fla.),Notre Dame,-3.5,8,41,12,33
Miami (Ohio),Akron,6.5,14,24,12,10
Minnesota,Nebraska,2,21,54,12,33
Mississippi,Louisiana-Lafayette,20,22,50,12,28
Mississippi St.,Alabama,-13.5,31,24,12,-7
Missouri,Tennessee,12.5,17,50,12,33
Navy,SMU,3.5,40,43,12,3
Nevada,San Jose St.,18.5,14,59,12,45
North Texas,UTEP,22.5,10,45,12,35
Northern Ill.,Ball St.,31.5,17,63,12,46
Northwestern,Purdue,4,13,23,12,10
